日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
201908270700,1527.6,1528.4,1527.4,1527.6,1528,1528.8,1527.9,1528
201908270701,1527.6,1527.7,1527.3,1527.5,1528,1528.1,1527.7,1527.9
201908270702,1527.4,1527.4,1527.1,1527.2,1527.8,1527.9,1527.6,1527.7
201908270703,1527.2,1527.3,1527.2,1527.2,1527.7,1527.7,1527.6,1527.7
201908270704,1527.2,1527.3,1527.1,1527.2,1527.7,1527.7,1527.6,1527.7
201908270705,1527.2,1527.3,1527.2,1527.3,1527.6,1527.7,1527.6,1527.7
201908270706,1527.3,1527.3,1527.2,1527.3,1527.7,1527.8,1527.6,1527.7
201908270707,1527.3,1527.4,1527.3,1527.3,1527.8,1527.8,1527.7,1527.7
201908270708,1527.3,1527.3,1527.2,1527.3,1527.7,1527.7,1527.6,1527.7
201908270709,1527.3,1527.6,1527.3,1527.6,1527.7,1528,1527.7,1528
201908270710,1527.6,1527.6,1527.3,1527.3,1528,1528,1527.7,1527.7
201908270711,1527.3,1527.3,1527.2,1527.2,1527.7,1527.7,1527.6,1527.6
201908270712,1527.2,1527.2,1527,1527,1527.6,1527.6,1527.4,1527.4
201908270713,1527,1527.1,1526.8,1527.1,1527.4,1527.5,1527.2,1527.5
201908270714,1527.1,1527.2,1526.8,1527.1,1527.5,1527.6,1527.2,1527.5
201908270715,1527.1,1527.2,1527.1,1527.1,1527.5,1527.6,1527.5,1527.5
201908270716,1527.1,1527.1,1527,1527,1527.5,1527.5,1527.4,1527.4
201908270717,1527,1527,1526.7,1526.7,1527.4,1527.4,1527.1,1527.1
201908270718,1526.7,1526.8,1526.6,1526.6,1527.1,1527.2,1527,1527
201908270719,1526.7,1526.7,1526.5,1526.5,1527.1,1527.1,1526.9,1526.9
201908270720,1526.5,1526.7,1526.5,1526.5,1526.9,1527.1,1526.9,1526.9
201908270721,1526.5,1526.7,1526.5,1526.7,1526.9,1527.1,1526.9,1527.1
201908270722,1526.7,1526.7,1526.7,1526.7,1527.1,1527.1,1527.1,1527.1
201908270723,1526.7,1526.7,1526.6,1526.7,1527.1,1527.1,1527,1527.1
201908270724,1526.7,1526.7,1526.6,1526.6,1527.1,1527.1,1527,1527
201908270725,1526.6,1526.7,1526.6,1526.7,1527,1527.1,1527,1527.1
201908270726,1526.7,1526.9,1526.7,1526.7,1527.1,1527.3,1527.1,1527.1
201908270727,1526.7,1527,1526.7,1526.9,1527.1,1527.4,1527.1,1527.3
201908270728,1526.9,1526.9,1526.8,1526.9,1527.3,1527.3,1527.2,1527.3
201908270729,1526.9,1527.4,1526.9,1527.3,1527.3,1527.8,1527.3,1527.7
201908270730,1527.3,1527.7,1527.3,1527.6,1527.7,1528.1,1527.7,1528
201908270731,1527.6,1527.6,1527.3,1527.3,1528,1528,1527.7,1527.7
201908270732,1527.3,1527.4,1527.2,1527.2,1527.7,1527.8,1527.6,1527.6
201908270733,1527.3,1527.3,1527.2,1527.2,1527.7,1527.7,1527.6,1527.6
201908270734,1527.2,1527.2,1527,1527,1527.6,1527.6,1527.4,1527.4
201908270735,1527,1527.1,1526.9,1526.9,1527.4,1527.5,1527.3,1527.3
201908270736,1526.9,1527,1526.9,1526.9,1527.3,1527.4,1527.3,1527.3
201908270737,1526.9,1526.9,1526.9,1526.9,1527.3,1527.3,1527.3,1527.3
201908270738,1526.9,1526.9,1526.7,1526.7,1527.3,1527.3,1527.1,1527.1
201908270739,1526.6,1526.7,1526.5,1526.5,1527,1527.1,1526.9,1526.9
201908270740,1526.5,1526.7,1526.5,1526.7,1526.9,1527.1,1526.9,1527.1
201908270741,1526.7,1526.7,1526.5,1526.6,1527.1,1527.1,1526.9,1527
201908270742,1526.6,1526.6,1526.6,1526.6,1527,1527,1527,1527
201908270743,1526.6,1526.7,1526.5,1526.5,1527,1527.1,1526.9,1526.9
201908270744,1526.5,1526.6,1526.5,1526.6,1526.9,1527,1526.9,1527
201908270745,1526.6,1527.1,1526.6,1527,1527,1527.5,1527,1527.4
201908270746,1527,1527.2,1527,1527.1,1527.4,1527.6,1527.4,1527.5
201908270747,1527.1,1527.2,1527.1,1527.1,1527.5,1527.6,1527.5,1527.5
201908270748,1527.1,1527.2,1527.1,1527.2,1527.5,1527.6,1527.5,1527.6
201908270749,1527.2,1527.2,1526.9,1526.9,1527.6,1527.6,1527.3,1527.3
201908270750,1526.9,1527,1526.9,1527,1527.3,1527.4,1527.3,1527.4
201908270751,1527,1527.2,1527,1527.2,1527.4,1527.6,1527.4,1527.6
201908270752,1527.2,1527.2,1527.1,1527.1,1527.6,1527.6,1527.5,1527.5
201908270753,1527.1,1527.1,1527,1527.1,1527.5,1527.5,1527.4,1527.5
201908270754,1527.1,1527.2,1527.1,1527.1,1527.5,1527.6,1527.5,1527.5
201908270755,1527.1,1527.1,1526.9,1526.9,1527.5,1527.5,1527.3,1527.3
201908270756,1526.9,1527,1526.9,1527,1527.3,1527.4,1527.3,1527.4
201908270757,1527,1527.2,1527,1527.2,1527.4,1527.6,1527.4,1527.6
201908270758,1527.2,1527.2,1527,1527.1,1527.6,1527.6,1527.4,1527.5
201908270759,1527.1,1527.2,1527.1,1527.1,1527.5,1527.6,1527.5,1527.5
201908270800,1527.1,1527.1,1527,1527,1527.5,1527.5,1527.4,1527.4
201908270801,1527,1527.2,1527,1527.1,1527.4,1527.6,1527.4,1527.5
201908270802,1527.1,1527.1,1527.1,1527.1,1527.5,1527.5,1527.5,1527.5
201908270803,1527.1,1527.1,1527.1,1527.1,1527.5,1527.5,1527.5,1527.5
201908270804,1527.1,1527.1,1527.1,1527.1,1527.5,1527.5,1527.5,1527.5
201908270805,1527.1,1527.2,1526.9,1526.9,1527.5,1527.6,1527.3,1527.3
201908270806,1526.9,1527,1526.9,1526.9,1527.3,1527.4,1527.3,1527.3
201908270807,1526.9,1527.1,1526.9,1527,1527.3,1527.5,1527.3,1527.4
201908270808,1527,1527.1,1527,1527.1,1527.4,1527.5,1527.4,1527.5
201908270809,1527.1,1527.1,1526.9,1527,1527.5,1527.5,1527.3,1527.4
201908270810,1527,1527,1526.8,1526.8,1527.4,1527.4,1527.2,1527.2
201908270811,1526.8,1526.8,1526.6,1526.7,1527.2,1527.2,1527,1527.1
201908270812,1526.7,1526.7,1526.5,1526.7,1527.1,1527.1,1526.9,1527.1
201908270813,1526.7,1526.7,1526.6,1526.7,1527.1,1527.1,1527,1527.1
201908270814,1526.7,1526.9,1526.7,1526.9,1527.1,1527.3,1527.1,1527.3
201908270815,1526.9,1527,1526.9,1527,1527.3,1527.4,1527.3,1527.4
201908270816,1526.9,1527,1526.9,1526.9,1527.3,1527.4,1527.3,1527.3
201908270817,1526.9,1527,1526.9,1527,1527.3,1527.4,1527.3,1527.4
201908270818,1527,1527,1527,1527,1527.4,1527.4,1527.4,1527.4
201908270819,1527,1527,1527,1527,1527.4,1527.4,1527.4,1527.4
201908270820,1527,1527,1527,1527,1527.4,1527.4,1527.4,1527.4
201908270821,1527,1527,1527,1527,1527.4,1527.4,1527.4,1527.4
201908270822,1527,1527.1,1527,1527.1,1527.4,1527.5,1527.4,1527.5
201908270823,1527.1,1527.3,1527.1,1527.3,1527.5,1527.7,1527.5,1527.7
201908270824,1527.3,1527.4,1527.3,1527.3,1527.7,1527.8,1527.7,1527.7
201908270825,1527.3,1527.3,1527.1,1527.1,1527.7,1527.7,1527.5,1527.5
201908270826,1527.1,1527.2,1527,1527,1527.5,1527.6,1527.4,1527.4
201908270827,1527,1527.1,1527,1527,1527.4,1527.5,1527.4,1527.4
201908270828,1527,1527.1,1526.9,1527,1527.4,1527.5,1527.3,1527.4
201908270829,1527,1527,1526.9,1527,1527.4,1527.4,1527.3,1527.4
201908270830,1527,1527.2,1527,1527.1,1527.4,1527.6,1527.4,1527.5
201908270831,1527.1,1527.2,1527.1,1527.2,1527.5,1527.6,1527.5,1527.6
201908270832,1527.1,1527.1,1527,1527,1527.5,1527.5,1527.4,1527.4
201908270833,1527,1527.1,1527,1527,1527.4,1527.5,1527.4,1527.4
201908270834,1527,1527.1,1527,1527,1527.4,1527.5,1527.4,1527.4
201908270835,1527,1527,1526.6,1526.7,1527.4,1527.4,1527,1527.1
201908270836,1526.7,1526.7,1526.7,1526.7,1527.1,1527.1,1527.1,1527.1
201908270837,1526.7,1527,1526.7,1526.9,1527.1,1527.4,1527.1,1527.3
201908270838,1526.9,1527,1526.9,1527,1527.3,1527.4,1527.3,1527.4
201908270839,1527,1527.1,1527,1527.1,1527.4,1527.5,1527.4,1527.5
201908270840,1527.1,1527.1,1527.1,1527.1,1527.5,1527.5,1527.5,1527.5
201908270841,1527.1,1527.1,1527.1,1527.1,1527.5,1527.5,1527.5,1527.5
201908270842,1527.1,1527.2,1527.1,1527.1,1527.5,1527.6,1527.5,1527.5
201908270843,1527.1,1527.1,1527,1527.1,1527.5,1527.5,1527.4,1527.5
201908270844,1527.1,1527.2,1527.1,1527.2,1527.5,1527.6,1527.5,1527.6
201908270845,1527.2,1527.3,1527.2,1527.3,1527.6,1527.7,1527.6,1527.7
201908270846,1527.4,1528.1,1527.4,1528.1,1527.8,1528.5,1527.8,1528.5
201908270847,1528.1,1528.5,1528.1,1528.3,1528.5,1528.9,1528.5,1528.7
201908270848,1528.3,1528.3,1527.9,1528,1528.7,1528.7,1528.3,1528.4
201908270849,1528,1528.1,1527.9,1527.9,1528.4,1528.5,1528.3,1528.3
201908270850,1527.9,1528,1527.9,1527.9,1528.3,1528.4,1528.3,1528.3
201908270851,1527.9,1528.2,1527.9,1528.2,1528.3,1528.6,1528.3,1528.6
201908270852,1528.2,1528.5,1528.2,1528.3,1528.6,1528.9,1528.6,1528.7
201908270853,1528.3,1528.3,1528.1,1528.3,1528.7,1528.7,1528.5,1528.7
201908270854,1528.3,1528.6,1528.3,1528.4,1528.7,1529,1528.7,1528.8
201908270855,1528.4,1528.4,1527.8,1527.8,1528.8,1528.8,1528.2,1528.2
201908270856,1527.8,1528.2,1527.8,1528.2,1528.2,1528.6,1528.2,1528.6
201908270857,1528.2,1528.7,1528.2,1528.6,1528.6,1529.1,1528.6,1529
201908270858,1528.5,1528.7,1528.5,1528.6,1528.9,1529.1,1528.9,1529
201908270859,1528.6,1528.7,1528.5,1528.5,1529,1529.1,1528.9,1528.9
201908270900,1528.5,1528.5,1528,1528.1,1528.9,1528.9,1528.4,1528.5
201908270901,1528.1,1528.5,1528.1,1528.5,1528.5,1528.9,1528.5,1528.9
201908270902,1528.5,1528.5,1528,1528.2,1528.9,1528.9,1528.4,1528.6
201908270903,1528.2,1528.5,1528.1,1528.4,1528.6,1528.9,1528.5,1528.8
201908270904,1528.3,1528.6,1528.3,1528.4,1528.7,1529,1528.7,1528.8
201908270905,1528.5,1528.6,1528.4,1528.6,1528.9,1529,1528.8,1529
201908270906,1528.6,1528.7,1528.4,1528.4,1529,1529.1,1528.8,1528.8
201908270907,1528.4,1528.6,1528.4,1528.5,1528.8,1529,1528.8,1528.9
201908270908,1528.5,1528.6,1528.4,1528.5,1528.9,1529,1528.8,1528.9
201908270909,1528.5,1528.6,1528,1528,1528.9,1529,1528.4,1528.4
201908270910,1528.1,1528.2,1528,1528.1,1528.5,1528.6,1528.4,1528.5
201908270911,1528.1,1528.4,1528.1,1528.4,1528.5,1528.8,1528.5,1528.8
201908270912,1528.3,1528.7,1528.3,1528.7,1528.7,1529.1,1528.7,1529.1
201908270913,1528.6,1528.8,1528.4,1528.5,1529,1529.2,1528.8,1528.9
201908270914,1528.5,1528.6,1528.4,1528.6,1528.9,1529,1528.8,1529
201908270915,1528.6,1529,1528.6,1528.9,1529,1529.4,1529,1529.3
201908270916,1528.9,1529.1,1528.9,1529.1,1529.3,1529.5,1529.3,1529.5
201908270917,1529.1,1529.1,1528.9,1529,1529.5,1529.5,1529.3,1529.4
201908270918,1529,1529.2,1528.9,1529.2,1529.4,1529.6,1529.3,1529.6
201908270919,1529.2,1529.2,1528.9,1528.9,1529.6,1529.6,1529.3,1529.3
201908270920,1528.9,1529,1528.8,1528.8,1529.3,1529.4,1529.2,1529.2
201908270921,1528.8,1529.1,1528.8,1529,1529.2,1529.5,1529.2,1529.4
201908270922,1529,1529,1528.8,1528.8,1529.4,1529.4,1529.2,1529.2
201908270923,1528.8,1529.2,1528.7,1529.2,1529.2,1529.6,1529.1,1529.6
201908270924,1529.2,1529.2,1529,1529,1529.6,1529.6,1529.4,1529.4
201908270925,1529,1529.2,1529,1529.1,1529.4,1529.6,1529.4,1529.5
201908270926,1529.1,1529.2,1529,1529.1,1529.5,1529.6,1529.4,1529.5
201908270927,1529.1,1529.1,1528.9,1529.1,1529.5,1529.5,1529.3,1529.5
201908270928,1529.1,1529.1,1528.7,1528.7,1529.5,1529.5,1529.1,1529.1
201908270929,1528.7,1529,1528.7,1528.8,1529.1,1529.4,1529.1,1529.2
201908270930,1528.8,1528.9,1528.7,1528.8,1529.2,1529.3,1529.1,1529.2
201908270931,1528.8,1528.8,1528.6,1528.7,1529.2,1529.2,1529,1529.1
201908270932,1528.6,1528.7,1528.5,1528.5,1529,1529.1,1528.9,1528.9
201908270933,1528.5,1528.6,1528.3,1528.4,1528.9,1529,1528.7,1528.8
201908270934,1528.3,1528.3,1528.2,1528.2,1528.7,1528.7,1528.6,1528.6
201908270935,1528.2,1528.2,1528.1,1528.2,1528.6,1528.6,1528.5,1528.6
201908270936,1528.2,1528.3,1528.2,1528.3,1528.6,1528.7,1528.6,1528.7
201908270937,1528.3,1528.6,1528.3,1528.4,1528.7,1529,1528.7,1528.8
201908270938,1528.4,1528.6,1528.3,1528.5,1528.8,1529,1528.7,1528.9
201908270939,1528.5,1528.6,1528.5,1528.6,1528.9,1529,1528.9,1529
201908270940,1528.6,1528.7,1528.5,1528.7,1529,1529.1,1528.9,1529.1
201908270941,1528.7,1529,1528.7,1528.9,1529.1,1529.4,1529.1,1529.3
201908270942,1528.9,1528.9,1528.7,1528.8,1529.3,1529.3,1529.1,1529.2
201908270943,1528.8,1528.8,1528.6,1528.6,1529.2,1529.2,1529,1529
201908270944,1528.6,1528.6,1528.5,1528.5,1529,1529,1528.9,1528.9
201908270945,1528.5,1528.6,1528.4,1528.4,1528.9,1529,1528.8,1528.8
201908270946,1528.4,1528.4,1528.3,1528.4,1528.8,1528.8,1528.7,1528.8
201908270947,1528.4,1528.4,1528.3,1528.3,1528.8,1528.8,1528.7,1528.7
201908270948,1528.3,1528.4,1528.3,1528.3,1528.7,1528.8,1528.7,1528.7
201908270949,1528.3,1528.7,1528.3,1528.7,1528.7,1529.1,1528.7,1529.1
201908270950,1528.7,1529,1528.7,1528.7,1529.1,1529.4,1529.1,1529.1
201908270951,1528.7,1528.7,1528.2,1528.2,1529.1,1529.1,1528.6,1528.6
201908270952,1528.2,1528.5,1528.2,1528.5,1528.6,1528.9,1528.6,1528.9
201908270953,1528.5,1528.7,1528.4,1528.4,1528.9,1529.1,1528.8,1528.8
201908270954,1528.4,1528.5,1528.3,1528.4,1528.8,1528.9,1528.7,1528.8
201908270955,1528.3,1528.4,1528,1528.1,1528.7,1528.8,1528.4,1528.5
201908270956,1528.1,1528.2,1528,1528.1,1528.5,1528.6,1528.4,1528.5
201908270957,1528.1,1528.1,1528,1528.1,1528.5,1528.5,1528.4,1528.5
201908270958,1528.1,1528.4,1528.1,1528.4,1528.5,1528.8,1528.5,1528.8
201908270959,1528.4,1528.4,1528.2,1528.3,1528.8,1528.8,1528.6,1528.7
201908271000,1528.3,1529.2,1527.7,1527.7,1528.7,1529.6,1528.1,1528.1
201908271001,1527.7,1527.7,1525.6,1526.6,1528.1,1528.1,1526,1527
201908271002,1526.6,1527.6,1525.9,1526,1527,1528,1526.3,1526.4
201908271003,1526,1527.3,1525.8,1527.2,1526.4,1527.7,1526.2,1527.6
201908271004,1527.2,1527.7,1527.2,1527.5,1527.6,1528.1,1527.6,1527.9
